date,PCA1,PCA2
2020-08-24,43.828665727516054,0.4710991129933837
2020-07-24,-29.998296714488635,3.98406673929661
2020-08-05,-19.455460899038833,21.487467689340505
2020-11-29,-26.383765543652565,-4.486642465543223
2020-08-29,43.828665727516054,0.4710991129933837
2020-08-28,43.828665727516054,0.4710991129933837
2020-10-04,12.535365027587577,0.6465046934249224
2020-12-18,-14.35232733107659,-5.2425249474912565
2020-09-24,2.972830959863277,-3.6082053780964607
2020-12-17,-3.1374774063604516,2.0842741827033078
2020-09-07,43.828665727516054,0.4710991129933837
2020-10-18,-12.649921867970216,-15.559237374909886
2020-12-25,-44.42221272833826,11.640186408663142
2020-10-19,-5.05190855675384,16.70729639454626
2020-12-22,18.234771887536116,1.449761584649341
2020-12-30,-28.119585619315284,-0.2264806807886626
2020-08-22,43.828665727516054,0.4710991129933837
2020-11-06,-23.798565061770926,8.844696306118102
2020-12-13,6.798323860142066,-8.064441959384563
2020-07-05,-22.608126229127162,-6.75946309879393
2020-10-05,-20.76300490095239,12.48031246365755
2020-08-04,18.228668334274808,24.263470037822184
2020-09-04,43.828665727516054,0.4710991129933837
2020-07-02,-20.218494164695038,31.573031661626583
2020-10-29,-23.465170501158685,-18.270497743600153
2020-08-09,18.24553981159421,8.594385261537285
2020-12-23,-4.129049563890471,-1.971003850179338
2020-12-21,20.383183705516192,-1.9638638454880124
2020-07-03,-34.73517523918046,-3.8879732742117206
2020-08-26,43.828665727516054,0.4710991129933837
2020-12-12,3.0957472308143195,-15.486033677397069
2020-10-13,4.142493931566896,-1.388453580220969
2020-08-07,21.65812763107105,-0.2588987844299768
2020-12-09,16.3180681127398,0.27322169041539124
2020-11-27,-4.611476003568103,-11.583986630592618
2020-09-17,-26.20030551645871,-4.481083790953899
2020-07-21,-10.31436416928606,-6.292605480523458
2020-11-16,-0.11751947949786457,2.9800637141004396
2020-09-03,43.828665727516054,0.4710991129933837
2020-11-09,-35.450423191466705,23.076657580750712
2020-09-16,-14.553000421218545,8.730166102320183
2020-08-16,25.0728946693025,0.22002028233235726
2020-08-13,8.576860375494142,-8.77188464069825
2020-12-16,0.78102706188176,-0.7020760642922357
2020-08-20,43.828665727516054,0.4710991129933837
2020-10-30,-3.9588376201042954,13.961198602087267
2020-11-19,2.0340440556088604,2.62627135535707
2020-07-12,-25.258513693745883,11.51027856610582
2020-12-24,-33.8622577174003,17.295892965391147
2020-12-20,14.724387920474673,-10.699377308768147
2020-08-23,43.828665727516054,0.4710991129933837
2020-07-29,-10.840208035009267,-9.851549461716454
2020-11-05,-33.7225970909281,4.810102118818348
2020-10-09,-29.49393730300039,-14.530193488284395
2020-07-28,-12.763275202163278,17.680780529884927
2020-11-10,-31.89368216161136,-16.89167800609574
2020-09-13,43.828665727516054,0.4710991129933837
2020-08-12,10.529962527275439,-0.37212834119768967
2020-10-06,-27.579043827519182,-2.995483952729783
2020-11-01,-15.53996026857226,-23.652636620891116
2020-10-28,-37.04965439228536,2.7954875017071243
2020-09-01,43.828665727516054,0.4710991129933837
2020-11-02,3.4807231524957203,-11.401620079559383
2020-11-28,15.630445913731133,-4.274332585725512
2020-10-25,-7.4429867217514545,-25.134000836728454
2020-09-09,43.828665727516054,0.4710991129933837
2020-07-19,-20.46962142594759,6.374712440776125
2020-11-17,0.8096014129116222,-1.5841754362568088
2020-10-16,-14.944124372888274,-18.100798956313007
2020-07-31,13.486764947382246,2.7616190796818
2020-12-03,8.512114748008738,-4.782328064359896
2020-09-06,43.828665727516054,0.4710991129933837
2020-12-10,-9.877152980898245,22.901962376635737
2020-11-22,-9.651161544192826,-11.925742586748711
2020-07-18,-18.23631338785716,5.271877428713906
2020-07-23,-0.5092129565354104,5.661283022750703
2020-11-24,-5.138918790692859,-12.833115226638515
2020-08-25,43.828665727516054,0.4710991129933837
2020-12-02,-12.731170352654392,-5.959019029131021
2020-07-26,-3.818341791197491,-0.4815685327622683
2020-10-12,10.015460449716466,3.5854595144267383
2020-11-18,9.68672624167849,1.2538157867309114
2020-12-19,9.456275525559473,-10.143104280720626
2020-07-16,24.820014043600008,21.47414707717043
2020-07-25,-3.554907778950483,-6.592791910354864
2020-11-04,-28.561038050790998,15.995012719163162
2020-09-11,43.828665727516054,0.4710991129933837
2020-08-15,20.78680755182978,-5.7296120814194955
2020-12-15,-18.470574125073185,-4.472519783578313
2020-09-25,12.810554013167588,18.650117182266
2020-12-31,-15.414202152857609,-0.7224479499125088
2020-09-22,-16.08540602932221,-4.602147056986633
2020-09-05,43.828665727516054,0.4710991129933837
2020-07-17,-36.389717814035194,10.984398102076632
2020-07-07,-22.575917914005192,6.570763240802891
2020-07-11,-38.28632399656113,-4.7192212607207455
2020-11-20,-15.152221702333359,-13.957944441061125
2020-09-18,-9.676304997988696,13.4405119296924
2020-09-28,7.376628251071661,17.305811839020503
2020-12-28,-44.011278690120655,-7.230955427023697
2020-08-01,15.598460719372117,-8.577615270319704
2020-08-11,15.775085011780146,8.650971834819476
2020-07-10,-11.469965805570236,-8.109401901099123
2020-12-26,-44.56269194498286,12.136996668976055
2020-08-08,16.889572795695226,-11.102995315852851
2020-08-10,14.29819727543277,9.294377782181387
2020-12-04,7.250273121810476,0.7319525894544294
2020-10-03,-17.81809799135371,-21.291711214190155
2020-10-15,-22.0095370938509,1.6990616133043646
2020-09-08,43.828665727516054,0.4710991129933837
2020-07-08,-21.36835332342702,14.241899225969735
2020-08-02,7.075842717540124,-5.710787003581216
2020-11-03,0.8411553843138873,19.33260679017229
2020-09-26,23.83389321167125,2.492146668365735
