,day_hour,sum(dock_bikes),sum(free_bases),sum(total_bases),features,scaled_features,pca_features,PCA1,PCA2
701,2021-03-10 8h,18,12,30,"[18.0,12.0]","[3.3837837837837803,-2.118918918918922]","[-3.877853597806741,0.9497692110865219]",-3.877853597806741,0.9497692110865219
702,2021-03-17 16h,4,25,30,"[4.0,25.0]","[-10.61621621621622,10.881081081081078]","[15.20200996100001,-0.02941748067248451]",15.20200996100001,-0.02941748067248451
703,2021-03-08 6h,14,15,30,"[14.0,15.0]","[-0.6162162162162197,0.8810810810810779]","[1.0613112547112076,0.1721764129901574]",1.0613112547112076,0.1721764129901574
704,2021-03-06 16h,18,11,30,"[18.0,11.0]","[3.3837837837837803,-3.118918918918922]","[-4.594968227804314,0.2528139704552137]",-4.594968227804314,0.2528139704552137
705,2021-03-22 21h,14,14,30,"[14.0,14.0]","[-0.6162162162162197,-0.11891891891892215]","[0.3441966247136353,-0.5247788276411508]",0.3441966247136353,-0.5247788276411508
706,2021-03-24 10h,24,6,30,"[24.0,6.0]","[9.38378378378378,-8.118918918918922]","[-12.362272821580024,1.0707255472841073]",-12.362272821580024,1.0707255472841073
707,2021-03-27 15h,21,7,30,"[21.0,7.0]","[6.38378378378378,-7.118918918918922]","[-9.554292469688527,-0.3836631020773016]",-9.554292469688527,-0.3836631020773016
708,2021-03-28 8h,15,13,30,"[15.0,13.0]","[0.3837837837837803,-1.1189189189189221]","[-1.0698732459152451,-0.5046194382748866]",-1.0698732459152451,-0.5046194382748866
709,2021-03-08 20h,25,2,30,"[25.0,2.0]","[10.38378378378378,-12.118918918918922]","[-15.927686582201622,-0.9999807852435527]",-15.927686582201622,-0.9999807852435527
710,2021-03-09 9h,27,3,30,"[27.0,3.0]","[12.38378378378378,-11.118918918918922]","[-16.604482433466664,1.1312037153828989]",-16.604482433466664,1.1312037153828989
711,2021-03-19 3h,4,25,30,"[4.0,25.0]","[-10.61621621621622,10.881081081081078]","[15.20200996100001,-0.02941748067248451]",15.20200996100001,-0.02941748067248451
712,2021-03-29 10h,28,0,30,"[28.0,0.0]","[13.38378378378378,-14.118918918918922]","[-19.45278156409069,-0.24254737651345337]",-19.45278156409069,-0.24254737651345337
713,2021-03-06 10h,10,19,30,"[10.0,19.0]","[-4.61621621621622,4.881081081081078]","[6.717590737226729,0.09153885552510044]",6.717590737226729,0.09153885552510044
714,2021-03-25 19h,29,1,30,"[29.0,1.0]","[14.38378378378378,-13.118918918918922]","[-19.432622174724422,1.171522494115429]",-19.432622174724422,1.171522494115429
715,2021-03-28 7h,15,13,30,"[15.0,13.0]","[0.3837837837837803,-1.1189189189189221]","[-1.0698732459152451,-0.5046194382748866]",-1.0698732459152451,-0.5046194382748866
716,2021-03-28 11h,18,10,30,"[18.0,10.0]","[3.3837837837837803,-4.118918918918922]","[-5.312082857801886,-0.4441412701760945]",-5.312082857801886,-0.4441412701760945
717,2021-03-03 9h,11,19,30,"[11.0,19.0]","[-3.6162162162162197,4.881081081081078]","[6.020635496595421,0.8086534855226728]",6.020635496595421,0.8086534855226728
718,2021-03-13 15h,12,17,30,"[12.0,17.0]","[-2.6162162162162197,2.881081081081078]","[3.8894509959689687,0.13185763425762898]",3.8894509959689687,0.13185763425762898
719,2021-03-13 17h,11,18,30,"[11.0,18.0]","[-3.6162162162162197,3.881081081081078]","[5.303520866597848,0.1116982448913646]",5.303520866597848,0.1116982448913646
720,2021-03-18 7h,7,23,30,"[7.0,23.0]","[-7.61621621621622,8.881081081081078]","[11.676914979110943,0.7280159280576166]",11.676914979110943,0.7280159280576166
721,2021-03-08 5h,13,16,30,"[13.0,16.0]","[-1.6162162162162197,1.8810810810810779]","[2.475381125340088,0.15201702362389313]",2.475381125340088,0.15201702362389313
722,2021-03-22 19h,19,9,30,"[19.0,9.0]","[4.38378378378378,-5.118918918918922]","[-6.726152728430766,-0.42398188080983035]",-6.726152728430766,-0.42398188080983035
723,2021-03-04 7h,10,20,30,"[10.0,20.0]","[-4.61621621621622,5.881081081081078]","[7.434705367224302,0.7884940961564091]",7.434705367224302,0.7884940961564091
724,2021-03-23 3h,8,20,30,"[8.0,20.0]","[-6.61621621621622,5.881081081081078]","[8.828615848486917,-0.6457351638387356]",8.828615848486917,-0.6457351638387356
725,2021-03-30 8h,16,13,30,"[16.0,13.0]","[1.3837837837837803,-1.1189189189189221]","[-1.7668284865465531,0.21249519172268572]",-1.7668284865465531,0.21249519172268572
726,2021-03-12 22h,12,16,30,"[12.0,16.0]","[-2.6162162162162197,1.8810810810810779]","[3.172336365971396,-0.5650976063736792]",3.172336365971396,-0.5650976063736792
727,2021-03-18 15h,10,18,30,"[10.0,18.0]","[-4.61621621621622,3.881081081081078]","[6.000476107229157,-0.6054163851062078]",6.000476107229157,-0.6054163851062078
728,2021-03-18 18h,10,19,30,"[10.0,19.0]","[-4.61621621621622,4.881081081081078]","[6.717590737226729,0.09153885552510044]",6.717590737226729,0.09153885552510044
729,2021-03-20 12h,18,11,30,"[18.0,11.0]","[3.3837837837837803,-3.118918918918922]","[-4.594968227804314,0.2528139704552137]",-4.594968227804314,0.2528139704552137
730,2021-03-22 0h,23,5,30,"[23.0,5.0]","[8.38378378378378,-9.118918918918922]","[-12.382432210946288,-0.3433443233447733]",-12.382432210946288,-0.3433443233447733
731,2021-03-23 5h,8,20,30,"[8.0,20.0]","[-6.61621621621622,5.881081081081078]","[8.828615848486917,-0.6457351638387356]",8.828615848486917,-0.6457351638387356
732,2021-03-02 14h,17,12,30,"[17.0,12.0]","[2.3837837837837803,-2.118918918918922]","[-3.1808983571754332,0.23265458108894976]",-3.1808983571754332,0.23265458108894976
733,2021-03-18 1h,5,25,30,"[5.0,25.0]","[-9.61621621621622,10.881081081081078]","[14.505054720368703,0.6876971493250883]",14.505054720368703,0.6876971493250883
734,2021-03-19 12h,20,10,30,"[20.0,10.0]","[5.38378378378378,-4.118918918918922]","[-6.705993339064502,0.9900879898190502]",-6.705993339064502,0.9900879898190502
735,2021-03-21 0h,17,11,30,"[17.0,11.0]","[2.3837837837837803,-3.118918918918922]","[-3.8980129871730056,-0.46430065954235844]",-3.8980129871730056,-0.46430065954235844
736,2021-03-12 16h,11,19,30,"[11.0,19.0]","[-3.6162162162162197,4.881081081081078]","[6.020635496595421,0.8086534855226728]",6.020635496595421,0.8086534855226728
737,2021-03-23 7h,10,18,30,"[10.0,18.0]","[-4.61621621621622,3.881081081081078]","[6.000476107229157,-0.6054163851062078]",6.000476107229157,-0.6054163851062078
738,2021-03-08 3h,13,16,30,"[13.0,16.0]","[-1.6162162162162197,1.8810810810810779]","[2.475381125340088,0.15201702362389313]",2.475381125340088,0.15201702362389313
739,2021-03-24 3h,17,13,30,"[17.0,13.0]","[2.3837837837837803,-1.1189189189189221]","[-2.4637837271778613,0.9296098217202581]",-2.4637837271778613,0.9296098217202581
